	R100	R101	R102	R103	R104	R105	R106	R107	R108	R109	R10	R110	R111	R112	R113	R114	R115	R116	R117	R118	R119	R11	R120	R121	R122	R123	R124	R125	R126	R127	R128	R129	R12	R130	R131	R132	R13	R14	R15	R16	R17	R18	R19	R1	R20	R21	R22	R23	R24	R25	R26	R27	R28	R29	R2	R30	R31	R32	R33	R34	R35	R36	R37	R38	R39	R3	R40	R41	R42	R43	R44	R45	R46	R47	R48	R49	R4	R50	R51	R52	R53	R54	R55	R56	R57	R58	R59	R5	R6
2731_c00056_vamb384_MEGAHIT.k21-141.Full_450	17.9468	29.0482	224.322	42.1717	155.983	27.8742	14.3009	46.1652	232.219	4.62287	16.6954	7.94225	129.033	100.63	5.47278	13.3017	42.5867	37.8337	21.5919	10.8955	26.8121	107.916	39.7811	6.38988	132.331	43.7959	7.02279	11.1284	16.6961	47.6576	18.4421	18.3497	18.048	16.7094	23.7431	21.7562	27.3952	27.1686	6.29972	50.3785	9.27159	8.34601	9.02926	8.01342	9.47067	8.71807	22.9312	12.8233	11.3927	8.23781	2.24872	39.1585	2.99637	8.17186	14.2802	32.5523	3.20891	12.9528	36.2191	26.0148	22.5351	5.74703	4.0602	12.6543	35.0868	65.9996	106.753	3.36284	52.9398	67.3902	41.5463	8.44018	3.70427	39.9386	18.1512	30.0291	146.93	52.3469	43.1713	114.579	27.0847	200.151	43.5214	14.5198	32.5152	65.4973	18.8552	111.173	18.7379
2732_c00057_vamb384_MEGAHIT.k21-141.Full_450	1.80597	0.732074	0	0	0	1.61196	1.38769	0	0	0.385739	0.651011	1.88889	0	0	0.61191	3.237	0	3.50611	3.70358	0	0	0	0	1.04721	0	0	2.01785	3.0627	0.779255	0	0	6.78171	0	0.131099	0.395501	0.379814	0	0	0	23.3018	0.811286	1.35858	0.240402	1.60424	1.23042	2.19322	0	3.20599	1.37725	0.220645	0.479974	0	0.634783	0.444499	2.72829	0	0.163831	2.83352	0	0	0	0.542172	0.317091	0	2.568	0.809762	0	0	9.60465	0	0	0	0	0	0.117086	0.147126	30.0083	0	0	0	0	0	0	0	0	0	6.4734	0	0.0772773
2733_c00058_vamb384_MEGAHIT.k21-141.Full_450	1.8067	0	0	0.451459	0	0.0503943	2.26234	0	0	0.0385896	0.36796	0.188966	0	0	0.0680176	2.36309	0	0	0	0.133761	0	0	0	0.798195	0	0.349541	1.514	2.11454	0.194893	0.723815	0.586282	5.77687	0	1.31152	0.131887	0	0	0	0.204578	3.65518	1.01452	0.741347	0.480999	0.678992	0.967151	2.19411	0	0.874716	1.10225	0.0735782	0.0685955	0	0.47628	0.889358	1.63764	0	0.109507	0.755913	0	0	0	0.903987	0.528699	0	1.83503	0	0	0.995693	2.40214	0	0	0.314693	0.52901	0	0.117133	0.131243	33.6071	0	0	0	0	0	0	0	0	0	5.35947	0	0.154617
2734_c00059_vamb384_MEGAHIT.k21-141.Full_450	2.72088	4.02613	0	8.00174	1.33101	17.1809	3.0556	0	4.81058	10.3805	43.9056	5.71339	1.47689	10.1562	0.567326	8.03017	1.39683	6.45349	5.40804	0.69729	4.02024	18.0914	12.3677	0.676155	0	5.83109	3.91706	5.70171	4.06401	1.25774	9.16889	8.82439	5.1941	2.46135	3.30017	4.88604	0	0	0.959847	13.8143	8.67344	3.0918	11.2838	2.63858	2.3834	6.10026	15.4729	8.20785	4.88415	0.690443	0.286081	2.62351	7.44863	13.4449	9.48559	2.84732	0.797465	13.3979	5.28005	8.80803	6.2387	3.2045	1.04733	7.37801	6.12223	8.44597	2.11407	2.28382	5.3666	6.35796	5.2822	1.96862	3.30927	13.5954	0.976997	1.41397	56.8702	5.3148	1.36278	34.9152	1.56609	11.1057	0	2.17718	7.94778	9.81942	14.6681	4.24307	1.28962
2735_c00060_vamb384_MEGAHIT.k21-141.Full_450	3.21733	0	0	0	0	0	2.25238	0	0	0	0	0	0	0	0	2.52492	0	0.440903	0.79173	0.0714575	0	0	0	0.692917	0	0	1.3181	2.10354	0	0	0	6.24413	0	0	0	0	0	0	0	3.90528	1.08396	1.05617	0	1.05522	1.3152	2.96948	0	0.623067	0.588856	0.23586	0	0	1.35704	1.18777	0.194416	0	0.0583754	1.41339	0	0	0	0.193174	0.508405	0	0.784253	0	0	0.638301	2.19984	0	0	0	0.376814	0	0.125154	0	36.7358	0	0	0	0	0	0	0	0	0	8.35102	0	0.165199
2736_c00061_vamb384_MEGAHIT.k21-141.Full_450	4.17341	0	0	0.922577	1.3289	0	3.33297	0	0	0.430105	0.125622	1.35105	0	0	0.516346	7.73398	0.252103	3.43132	2.53822	0.418661	0	0	0	3.52364	0	2.37671	5.52765	10.8792	6.1477e-05	0.748874	4.18254	15.8016	0	0.322559	0	0.159517	0	0	0.260721	7.76116	1.42076	2.84185	0	2.00521	2.43325	6.22637	0	2.98664	0.731625	0.324476	0.287805	0	1.36511	5.22604	1.11144	0	0.619819	6.15916	0	0	0	1.0014	1.1186	0.657732	3.312	0	0	0.648748	1.89163	0	0	0	0.769896	0	2.609	0	83.0186	0	0	0	0.342201	0	0	0.769476	2.80349	0	20.6794	0	0.228183
2737_c00062_vamb384_MEGAHIT.k21-141.Full_450	2.17651	0.288745	0	4.40523	0	1.96693	2.6758	0	0	0.251047	2.6597	6.35104	0	0	0.442475	7.49666	0	10.7377	1.0712	0.507573	5.37517	0	0	1.90312	0	6.82193	6.38368	4.90159	0.422627	3.13898	4.02579	10.7059	2.54185	0	0	0.411984	0	0	0	14.8606	0.450795	4.28701	0.156458	2.81077	2.86939	8.45394	0	3.79351	0.597537	2.47318	0.148753	0	2.06558	1.20527	4.46182	0	0.651603	2.04888	0	0	0	0.784087	2.17824	1.22757	2.78534	0	0	0	2.97633	0	0	1.36479	0.573552	0	0.126999	1.84987	831.006	0	0	0	1.01786	0	0	0	3.40331	0	22.2749	0	0.430252
2738_c00063_vamb384_MEGAHIT.k21-141.Full_450	1.5402	0.146953	0	0	0	0	0.850919	0	0	0	0.134416	0	0	0	0.223752	1.63578	0	0	1.35388	0	1.811	0	4.06239	0.109684	0	0	1.92786	2.92972	0.427261	0	1.28506	7.44325	0	1.29394	0.867821	0.694127	0	0	0	2.50339	0	0	0.105428	0.744842	0.0965003	3.07251	0	1.27811	0	0.0806392	0	0	0.869917	0	0	0	0.119749	0.207092	0	0	0	0	0.057952	0	1.20656	0	0	0	1.12812	0	0	0	0.19324	0	0.256731	0.047943	5.38291	0	0	0	0	0	0	0	0	0	4.89446	0	0.0847183
2739_c00064_vamb384_MEGAHIT.k21-141.Full_450	2.00191	0	0	0	0	0	1.88004	0	0	0	0	1.88436	0	0	0.2261	2.32772	0	2.05756	1.91578	0.370518	0	0	0	1.1055	0	0	3.97654	3.31264	0.215961	0	0.866162	6.40101	0	0.145326	0	0	0	0	0.113347	3.54524	1.57375	2.19065	0	1.64144	0.584541	2.59325	0	3.23074	2.44269	0.489212	0.684114	0	7.56435	5.91239	1.81456	0	0.423777	4.18781	0	0	0	0.60099	1.28881	0	2.84655	0	0	1.76517	3.0417	1.68926	0	0	4.88463	0	0.908535	0	69.0315	0	0	0	0	0	0	0	0	0	5.93856	0	0.428293
2740_c00065_vamb384_MEGAHIT.k21-141.Full_450	2.16025	4.3466	4.92821	2.66995	12.8348	5.75479	2.00693	6.68582	3.63851	1.56412	2.48131	3.79953	11.7285	17.2854	0.489307	4.76238	3.16948	2.68514	3.21367	0.237312	1.95473	16.9554	3.50782	1.5304	20.1049	24.81	1.92353	2.78941	0.922192	12.5576	3.00524	8.26332	15.2524	6.53214	5.54149	3.4964	4.66065	6.81148	0.242008	6.48855	8.15988	1.75397	0.999771	1.30893	2.74989	1.55815	3.90126	2.06931	2.93355	1.13159	0.405743	7.9378	5.07041	7.10024	3.01317	13.8457	0.517041	12.2937	10.7834	19.9857	17.9306	1.31031	0.646136	2.67841	1.30229	14.3725	9.5935	6.35947	4.91843	12.6233	7.49111	4.09469	6.04862	7.71211	1.66277	3.28821	77.5486	14.7391	2.32067	7.70272	39.4843	8.40045	5.60349	3.7054	47.7734	34.2178	7.4427	4.81366	0.936398
2741_c00066_vamb384_MEGAHIT.k21-141.Full_450	4.03714	0	0	0	0	0	8.33642	0	0	0.145532	0.102866	0.47498	0	2.4492	0.341974	11.7716	0	1.81534	1.86263	0.588387	0	0	0	5.83096	0	2.63647	8.73985	12.7403	0	0	1.96505	13.34	0	0.990776	0.994647	0.636864	3.96215	22.6196	1.02869	6.89046	3.31528	7.45552	0	7.99065	4.64163	43.7573	8.29146	4.03128	1.73181	0.185003	1.03481	1.05441	1.19732	3.91201	2.51572	0	2.1291	0.950059	16.5522	0	0	5.90834	3.72137	0.711513	7.38038	2.0363	0	4.50501	6.03757	0.95813	2.3881	0	1.32979	9.56091	0.147232	0.164971	37.3644	0	0	3.50799	0.471994	0	4.46606	2.62508	0	0	24.7005	7.67249	2.81773
2742_c00067_vamb384_MEGAHIT.k21-141.Full_450	260.002	31.687	418.659	747.856	230.705	37.9226	52.9553	890.552	6261.72	6.53175	18.0654	232.574	175.943	1875.35	40.9154	101.884	281.731	272.765	268.542	71.3966	2996.08	4291.83	1216.84	50.1237	101.502	571.886	61.8287	114.298	168.13	269.32	435.571	103.031	2357.67	46.8047	49.4879	53.7482	5243.49	7432.97	159.406	2482.5	714.709	218.707	93.9908	143.594	234.471	454.635	1820.78	957.012	1146.11	48.0751	117.118	5115.69	517.18	392.782	577.215	831.675	177.182	422.749	4569.79	1970.24	2377.35	522.568	107.172	1544.88	749.319	1428.95	2531.23	469.638	813.989	798.997	4164.19	782.274	397.436	3215.24	61.209	41.029	1267.36	2791.18	495.311	5186.14	360.566	4045.82	7900.7	7952.45	2000.54	1805.68	573.479	1753.5	192.573
2743_c00068_vamb384_MEGAHIT.k21-141.Full_450	3.38497	0	0	0	0	0	0.86961	0	0	0	0.0600337	1.89291	0	0	0.291216	3.09131	0	0	1.4259	0	0	0	0	0.503431	0	0	1.1353	2.05001	0.275266	0	0.292931	5.76923	0	0.927205	0.569463	0.722552	0	0	0	2.57786	0	0.868098	0.643792	1.40141	0.741152	1.30449	0	2.06105	0	0.206805	0.19279	0	0.223046	0	0.808416	0	0.383864	0.277593	0	0	0	0.803884	0	0	1.57871	0	0	0	0.964095	0	0	0	0	0	0.34147	0.065247	37.0197	0	0	0	0	0	0	0	0	0	5.33338	0	0.221213
2744_c00069_vamb384_MEGAHIT.k21-141.Full_450	1.72665	0	0	0	0	0	1.62142	0	0	0	0	0.541681	0	0	0	3.38826	0	0.591549	1.41614	0	0	0	0	1.00105	0	0	1.60775	4.18168	0	0	0.280141	6.64423	0	0	0	0	0	0	0.146667	3.93125	0.872533	1.77164	0	1.0617	1.51255	1.6775	0	2.08986	1.1851	0.105514	0.786906	0	0.910389	0	0.521664	0	0.548384	1.62525	0	0	0	0.777512	0.378951	0	1.05214	0	0	0.285427	1.47538	0	0	0	0.758294	0	0	0	41.5005	0	0	0	0	0	0	0	0	0	7.68309	0	0.221618
2745_c00070_vamb384_MEGAHIT.k21-141.Full_450	3.11354	7.50221	0	6.01314	0	9.79105	2.91004	0	0	3.06075	12.5637	4.18411	1.04562	0	0.708027	5.97674	0	8.22649	4.38719	1.87924	0	0	4.3784	1.40777	0	3.10599	4.09024	3.80109	1.74828	13.2321	4.02357	7.35833	0	10.1243	10.2299	8.99789	0	0	1.81271	15.5656	7.94452	4.58949	7.3053	1.46448	2.15834	3.11098	0	8.60958	3.25847	2.82933	0.406041	0	2.36023	1.67251	6.57046	0	1.94493	4.95371	0	0	0	5.12884	0.47046	0.835705	8.1539	0	0	0	2.0313	0	0	0	4.18218	0	4.07379	12.0406	124.218	0	0	0	13.8771	0	0	0	3.97343	0	15.1769	1.50199	2.02125
2746_c00071_vamb384_MEGAHIT.k21-141.Full_450	6.0711	5.58623	0	2.70534	0	9.43678	14.014	12.2324	0	0.92532	3.24005	9.30516	9.54968	0	2.51057	16.1459	3.34559	12.5415	7.77027	2.0037	1.65066	0	15.551	16.0851	2.36868	19.3253	16.8347	39.9213	5.54922	6.10462	16.505	74.991	14.9297	0.393041	1.97607	1.89808	0	1.07863	0.725966	28.2098	19.0448	9.44364	1.29749	8.86621	12.1862	11.8109	9.88485	5.24212	4.54157	5.51422	1.40436	2.51411	6.6605	39.2991	25.8864	9.35559	1.96515	33.4059	1.51795	14.5561	16.1373	4.33394	2.40529	2.12013	13.5291	6.06781	10.632	2.68477	12.7832	10.2791	17.0806	0	11.6072	0	7.90425	4.58865	241.74	15.2743	1.95847	0	10.672	0	0	0	32.0416	50.4017	22.4171	1.52419	2.82977
2747_c00072_vamb384_MEGAHIT.k21-141.Full_450	4.82275	0.199941	0	0	0	0.0756581	2.31585	0	0	0.811423	1.22792	1.41838	0	0	0.510653	5.52011	0	0.9294	3.33734	0.100402	0	0	0	1.35144	0	0	5.47301	6.24161	0.878134	0	9.97641	9.3799	0	2.52812	3.33286	4.27716	0	0	0.153627	4.11511	5.17875	2.59801	1.15583	2.40938	1.71631	10.9815	0	5.2535	2.06883	0.442096	0.309098	0	0.238413	2.00259	3.00518	0	1.06677	4.25573	0	0	0	1.62875	1.27015	0	2.75504	0	0	0.298955	6.69619	0	0	0	2.11798	0	0.532403	0.788334	61.7084	0	0	0	0.563828	0	0	0	0	0	9.724	0	0.464245
2748_c00073_vamb384_MEGAHIT.k21-141.Full_450	3.03305	0	0	0	0	0	1.94193	0	0	0	0	3.71082	0	0	0.102769	3.17439	0	1.87041	3.73131	0.303088	0	0	0	1.35649	0	0	5.25303	2.86484	0	0	1.47628	7.5102	0	0	0.199273	0.382819	0	0	0.463764	9.66781	5.21109	1.68059	0	1.30546	2.92267	3.31503	0	3.08368	1.24905	0.444862	0.311031	0	2.15893	4.03019	4.94828	0	0.66058	4.2823	0	0	0	2.18524	0.95856	0	1.1089	0	0	0.902464	2.59153	0	0	0	2.39761	0	0.176987	0	53.5022	0	0	0	0	0	0	0	0	0	19.2321	0	0.350358
2749_c00074_vamb384_MEGAHIT.k21-141.Full_450	1.82228	0	0	0	0	0	1.2445	0	0	0	0	0	0	0	0	0.662152	0	0.312154	0.373632	0	0	0	0	0.679153	0	0	1.44228	2.86869	0	0	0	7.21541	0	0	0	0	0	0	0	6.21952	0	0.186983	0	1.40058	0.798161	2.65559	0	0.441118	0.833822	0	0	0	0	0.3363	0.275274	0	0	0.28587	0	0	0	0	0.0799873	0	0	0	0	0	2.07601	0	0	0	1.60055	0	0	0	9.38523	0	0	0	0	0	0	0	0	0	5.40573	0	0
2750_c00075_vamb384_MEGAHIT.k21-141.Full_450	57.9348	4.02477	92.6297	14.2616	241.31	10.6588	37.3375	42.3306	36.5295	4.36941	4.56751	3.55359	75.1072	124.36	2.13902	77.6279	25.2809	3.20822	13.5522	1.57656	9.39791	40.8889	2.3263	11.2192	128.019	14.1448	28.9841	14.7903	3.19832	47.5804	4.0208	34.6766	36.7874	12.7358	11.6026	14.4637	19.7675	32.7003	2.41123	228.476	6.37241	20.3871	2.06089	30.2465	10.3674	105.537	10.342	19.6612	15.1214	1.2131	2.37062	44.4365	1.75973	13.0533	6.42286	21.3288	4.38833	8.86608	10.376	34.8831	17.2345	15.1974	12.3383	0.44823	40.3307	9.6535	26.8814	0.943105	73.6883	15.5337	42.983	10.6758	5.11094	18.7367	1.74367	3.81856	459.995	34.119	2.73862	56.6639	16.7267	26.445	51.8545	37.5559	11.25	55.1298	173.011	36.6754	7.04245
2751_c00076_vamb384_MEGAHIT.k21-141.Full_450	1.29948	0.107748	0	0	0	0.652331	4.07671	6.09815	0	0.187412	0.39704	2.14011	0	0	0.330228	6.65875	0	4.3407	2.79752	0.54104	0.891469	0	4.79915	1.45288	0	6.22459	5.53583	4.95705	0.315486	4.68435	1.26499	9.23991	4.26878	1.06137	1.28066	1.02515	0	1.16513	0.496765	9.61541	4.2682	3.40034	1.01223	2.19722	2.70362	2.36715	0	4.24662	0.891913	0.357401	0.222113	4.07367	0	11.8704	2.65002	6.948	0.1769	2.93689	0	17.0897	8.39244	0.585148	1.71119	3.2059	4.75088	1.31077	1.64052	0.966593	7.01803	8.63561	8.19988	1.52795	0.85601	0	0.878677	0.991295	59.9791	4.58279	0	0	1.51921	0	0	0	5.8076	25.0434	16.6242	4.93882	0.625427
2752_c00077_vamb384_MEGAHIT.k21-141.Full_450	2.99075	4.84942	1.37927	1.49445	3.16915	13.3451	3.06365	6.23771	2.54612	1.40584	2.63984	7.1926	11.723	3.22661	0.562975	5.36202	0.739285	5.46466	2.04393	0.110683	3.64749	3.74661	0	1.15586	10.4676	17.9439	4.08446	3.5011	2.25898	3.19432	0.97045	8.22824	3.88134	6.51398	4.14824	5.66257	0	1.19181	1.01629	13.6183	2.68667	4.70583	1.27435	3.26906	1.45553	2.42132	0	2.89587	2.73698	0.609318	0.227202	2.778	2.10256	14.7174	8.13196	3.87665	0.633335	14.3875	0	2.0977	0.660346	3.29196	0.962691	1.40538	4.25212	0	0	0.659133	2.83905	0	4.1938	0.520977	1.75119	3.59764	2.13304	5.79422	64.1771	5.62518	1.6229	3.08048	9.9454	2.93989	0	3.4581	4.45549	0	13.6777	0	0.895625
2753_c00078_vamb384_MEGAHIT.k21-141.Full_450	8.15897	4.39732	0	0	0	5.11958	3.65653	0	0	1.24211	5.01016	5.11868	0	0	2.53413	22.5636	0	5.59049	12.964	2.26459	0	0	0	4.22306	0	1.77653	8.83186	6.66949	0.660294	3.26782	3.30931	6.82515	0.496343	1.55494	0.893423	2.57469	0	0	0.866422	6.96588	9.06958	10.4658	1.46668	3.86684	5.36056	5.69726	0	4.02698	1.42894	1.24673	0.813539	0	7.17513	11.1886	17.6731	0	2.50858	19.8494	0	0	0	2.75543	2.05925	0	6.76306	0	0	4.72011	8.71303	0	2.1452	0	8.06174	0	2.24502	7.37592	271.722	0	0.553426	1.57573	2.22564	0	0	0	0.759699	0	69.675	0	0.523563
2754_c00079_vamb384_MEGAHIT.k21-141.Full_450	0.700002	0	0	0	0	0	0.896315	0	0	0	0	0.329362	0	0	0.118591	2.28933	0	0	1.72216	0	0	0	0	0.608685	0	0	2.05322	2.41604	0	0	0	10.6573	0	0	0	0	0	0	0	3.9814	2.12226	0.215506	0	1.61392	0.306609	4.0804	0	2.03337	0.96091	0	0	0	0.276818	2.71258	0	0	0.3812	1.64709	0	0	0	0	0.460888	0	0	0	0	2.77684	2.99005	0	0	0	0.307401	0	0.612721	0	13.5185	0	0	0	0	0	0	0	0	0	6.22965	0	0
2755_c00080_vamb384_MEGAHIT.k21-141.Full_450	2.81745	0	0	0	0	0	1.53323	0	0	0	0	0.331413	0	0	0	2.45718	0	0	0	0.234597	0.966416	0	0	0.0874964	0	0	1.47572	3.96654	0	0	0	8.95604	0	0	0	0	0	0	0.179521	5.60866	0.711827	1.08425	0	0.43306	0.771299	2.91834	0	0	3.86759	0	0	0	0.922562	1.23982	0.319194	0	0.191789	0	0	0	0	0.317166	0.0927518	0.297104	0.643765	0	0	0	4.21212	0	0	0	1.54658	0	0.411026	0	14.0561	0	0	0	0	0	0	0	0	0	7.83558	0	0.135595
2756_c00081_vamb384_MEGAHIT.k21-141.Full_450	3.1981	1.30718	0	3.19605	0	3.48542	3.09398	0	0	0.616358	1.88878	3.34387	2.50709	1.72532	0.602008	10.072	3.16218	6.20874	3.93398	1.18351	3.90038	0	3.93696	1.76563	0.699559	1.23801	5.75739	6.26653	0	5.58851	2.76725	14.6248	2.07527	3.26781	4.50478	3.13988	1.39532	3.82353	0.593151	15.3712	3.9502	3.06319	1.45093	3.06951	3.59717	8.02647	8.76022	3.61272	1.46337	1.0426	0.777542	0	0.843133	4.32765	3.86472	2.07289	1.06432	6.35445	3.58736	1.49543	3.53063	0	1.51873	0.500917	3.89727	2.86732	0	0.704801	6.07129	2.69879	0	2.78552	3.74512	5.77061	1.86623	1.79271	157.835	3.00755	0	1.6471	4.70115	9.4318	0	1.84906	1.58825	1.19103	22.1367	1.80063	2.24249
2757_c00082_vamb384_MEGAHIT.k21-141.Full_450	1.82575	0	0	8.2105	0	0	1.68317	0	0	0.0702234	0.148762	0.343607	0	0	0.618619	9.55384	0	0	4.49163	0.243228	1.002	0	0	1.45146	0	8.26935	2.65212	4.90869	0	2.19363	1.06635	8.5527	0.533139	0	0	0.691412	0	0	1.4891	7.47639	0.738028	2.47326	0	1.57149	3.19881	2.1285	0	3.18206	0.501251	0.133926	0.374528	0	0.2888	2.02134	1.65472	0	1.09373	1.37467	0	1.53669	0	0.328843	0.384667	0.51473	0.667461	0	0	0.362118	1.24772	0	0	1.14496	1.28281	3.95323	0.426164	0.079589	61.5843	0	0	0	3.41506	1.61539	0	0	0	0	10.5613	0	0.562338
2758_c00083_vamb384_MEGAHIT.k21-141.Full_450	1.83779	0	0	0	0	0	1.41189	0	0	0	0	0	0	0	0	1.76309	0	0.377773	0	0	0	0	1.35742	0.456569	0	0	1.43749	4.674	0	0	0	8.48611	0	0.720525	0	0	0	0	0	4.18092	0.371447	0.678979	0	1.12989	0.321991	2.67817	0	0.533841	0	0	0	0	0	0	0.666253	0	0	0.345934	0	0	0	0	0	0	2.68745	0	0	0	0	0	0	0	0	0	0	0	9.46415	0	0	0	0	0	0	0	0	0	4.49773	0	0
2759_c00084_vamb384_MEGAHIT.k21-141.Full_450	11.2254	0.868717	40.3784	7.57211	48.7655	1.31476	3.54537	16.3887	0	2.4467	2.77172	1.05629	39.5989	56.324	0.507134	7.17948	9.98942	0.384578	5.98341	1.12157	5.13391	26.7185	15.2006	2.13803	69.9785	0	6.58524	6.38965	0.363408	21.1297	4.37086	6.26013	14.0267	9.53563	6.39189	5.66819	1.46935	4.02637	0.953722	11.9172	0.756271	3.45611	0.179383	4.14084	5.24469	6.27075	0	8.15186	1.02729	0.548971	1.66314	9.38539	3.55132	5.7996	6.4434	2.18291	1.01892	4.57812	7.55543	17.3216	6.69198	1.01092	1.77381	2.63725	9.57544	0	11.3365	0.371066	1.27854	1.42093	9.44489	0.586641	0.985888	18.2295	2.62023	0.326231	214.85	14.779	0.60915	22.5481	4.89929	16.5538	15.4612	1.94718	4.18134	20.067	24.9751	17.0642	0.720295
2760_c00085_vamb384_MEGAHIT.k21-141.Full_450	5.32743	0	0	0	0	0	2.63106	2.38098	0	0	0.155031	2.14841	0	0	0.257871	3.98258	0	6.6488	1.40421	0.633666	0	0	8.43196	1.03988	0	0	3.61427	3.733	0	0.914385	2.59294	9.29492	0	0.745965	1.50009	0.240187	1.49431	1.36492	1.16391	21.6416	1.92276	3.04619	0.0912154	0.935796	2.02979	5.26811	37.5272	8.8429	5.22366	0.279152	0.650542	0	2.10677	2.10641	3.79369	0	0.31218	2.8651	13.4467	0	1.51235	2.74154	0.901958	0	9.04235	10.7465	0	0.37736	10.4017	7.22527	0	0	6.68411	4.11976	0	0	86.7122	2.14711	0	0	3.20299	0	6.73889	0	0.85048	3.82645	16.9327	11.5691	0.732514
2761_c00086_vamb384_MEGAHIT.k21-141.Full_450	0.389291	1.67849	0	0	0	6.83917	2.29285	1.2179	0	0.374433	0.475902	2.19783	0	0	0.263808	4.92313	0	0.40011	0.500219	0.129649	0	1.46303	0	0.580256	0	0	2.8275	3.819	1.89049	1.40313	0	7.55501	0	10.4431	7.42669	4.17727	0	0	0	6.20529	1.57361	0.719167	0.373269	0.957326	0.511551	1.98556	0	4.52323	0.534393	0	0	0	0.615795	1.72389	4.23383	0.757065	0.212024	1.46551	0	0	2.32075	2.10348	1.2303	0	2.13472	0	0	0.772084	3.99032	0	0	0	0.341897	0	0	0.678825	63.1475	0	0	0	0	0	0	0	0	1.30486	11.6927	0	0.599494
2762_c00087_vamb384_MEGAHIT.k21-141.Full_450	1.0684	1.46942	0	0.905592	0	2.22381	1.64423	0	0	0.464789	2.13829	1.11978	1.42076	0	0.409408	2.57599	0	1.55226	2.47699	0.670659	0	0	0	1.80097	0	2.10512	4.83811	2.17136	3.52075	2.71487	1.38842	6.60356	4.49428	0.789567	1.32312	1.5254	0	0	1.37309	16.2893	2.05688	3.87086	1.3517	1.41438	4.61805	2.34774	0	3.50982	2.76444	0.886466	1.56238	0	1.59278	3.87573	1.63407	0.111366	0	4.09274	0	0.847494	0.225514	0.725423	0.908236	0.372481	4.41713	0	0	0	0	0	0	0.631468	1.85469	0	1.74951	2.28256	99.3121	0	0	0	10.2701	0	0	1.37674	0	0	8.06493	0	1.08469
2763_c00088_vamb384_MEGAHIT.k21-141.Full_450	0	0	0	0	0	0	0.114496	0	0	0	0	0	0	0	0	0	0	0	0.549937	0	0	0	0	0	0	0	0.124913	0.324958	0	0	0	1.49614	0	0	0	0	0	0	0	3.05103	0.903669	0	0	0	0.195861	0.6516	0	1.94825	0	0	0	0	0.707321	1.97978	2.02617	0	0	2.94552	0	0	0	0	0	0	0	0	0	2.21681	0	0	0	0	1.57073	0	0	0	0	0	0	0	0	0	0	0	0	0	1.49226	0	0
2764_c00089_vamb384_MEGAHIT.k21-141.Full_450	1.39387	0	0	0	0	0	0	0	0	0	0.0946542	1.31137	0	0	0	0	0	10.5058	1.14284	0	0	0	0	0.461632	0	0	0.778793	0.506512	0.902679	2.23255	1.80905	0.621853	0	0.303631	0.610546	0.293323	0	0	0	20.0778	1.40848	2.00317	0.445579	0	0.407042	1.35415	0	4.72365	1.27563	0.170479	0.476719	0	2.93994	2.57139	6.73718	0	0.126559	5.24679	0	0	0	0.41841	0	0	1.69841	0	0	0.921365	4.76131	0	0	0	0.816059	0	0.813436	0	14.9521	0	0	0	0	0	0	0	0	0	4.13498	0	0
2765_c00090_vamb384_MEGAHIT.k21-141.Full_450	6.52044	0.772366	0	0	0	0.701275	2.14664	0	0	0.895931	0.759061	0.438177	0	0	0.321091	10.7655	0	0.478687	9.1648	0.465262	0	0	0	2.91175	0	0	6.89594	2.87717	0	0	0.913513	8.88279	0	0.959514	0	0.920821	0	0	0.237476	8.48222	2.35313	3.4423	0.529911	1.7178	3.87623	4.41162	7.65701	8.79366	1.91806	0.512674	0.318581	0	1.8419	1.54655	2.95463	0	1.52238	2.62972	0	0	0	1.67768	0.367976	0.656412	0.851255	1.87879	0	0	6.36371	0	0	0.730244	0.818028	0	0	0.609154	135.493	0	0	0	2.17783	4.12211	0	0	0	0	29.5328	4.71946	0.179285
2766_c00091_vamb384_MEGAHIT.k21-141.Full_450	1.41388	0	0	0	0	0	1.0861	0	0	0	0	1.77356	0	0	0.816629	2.05542	0	0	0.579617	0.156933	0	1.48641	0	1.87301	0	0	2.1066	3.76778	0.482588	0.057322	0	10.1518	0	0.308052	1.81507	1.70316	0	0	0	3.2187	0.476229	0	0	1.01398	2.27087	5.15096	0	1.36898	1.9409	0.172931	0.161191	0	0	0.521786	0.427116	0	0.641892	0.443504	0	0	0	0.424414	0.372359	0	0.861389	0	0	0	0	0	0	0	2.4833	0	0	0	26.693	0	0	0	0	0	0	0	0	0	6.87874	0	0.181419
2767_c00092_vamb384_MEGAHIT.k21-141.Full_450	3.3238	1.1024	0	0	4.52712	2.14483	3.52589	0	0	0.639397	1.64448	0.893427	0	0	0.321776	6.41963	0	0.488022	2.33584	0	0	0	3.50707	2.71263	1.8692	0	2.9183	3.10587	1.38378	0.570383	1.84876	7.46722	1.38672	4.96483	2.49582	2.39817	1.86504	0	0.726338	9.72851	3.35859	4.09442	0.569218	1.02157	2.70389	3.8057	0	1.37925	1.95546	0.17423	0.974411	0	0.375564	2.62779	3.44255	1.8474	0.646714	8.0429	0	0.999134	0.943552	0	0.875353	0	1.73569	0	0	0.47079	1.6219	0	0	0	0.416986	2.57035	1.38551	1.13857	109.406	5.35805	0	4.40289	0	0	0	0	0	1.59174	9.50802	0	1.27945
