	R100	R101	R102	R103	R104	R105	R106	R107	R108	R109	R10	R110	R111	R112	R113	R114	R115	R116	R117	R118	R119	R11	R120	R121	R122	R123	R124	R125	R126	R127	R128	R129	R12	R130	R131	R132	R13	R14	R15	R16	R17	R18	R19	R1	R20	R21	R22	R23	R24	R25	R26	R27	R28	R29	R2	R30	R31	R32	R33	R34	R35	R36	R37	R38	R39	R3	R40	R41	R42	R43	R44	R45	R46	R47	R48	R49	R4	R50	R51	R52	R53	R54	R55	R56	R57	R58	R59	R5	R6
1441_c00096_vamb384_MEGAHIT.k21-99.Full_1044	0.770911	4.3468	0	0	0	1.54708	2.96001	0	0	0.296829	0.785517	0	0	0	0.261217	2.35432	0	0	0.947586	0.270816	2.11556	0	0	2.48792	0	0	4.52324	9.5296	1.49874	0	9.00348	7.22204	0	3.02362	4.0524	2.92215	0	0	0	0	1.55749	0.475181	0.184957	2.13145	1.35092	1.12336	0	0	1.05831	0	0	0	0	0	0.698511	0	0.210205	0	0	0	0	0	0.406038	0	0	0	0	0	1.31533	0	0	0	0	0	31.4975	0.840499	0.991857	0	0	0	0	0	0	0	0	0	0	0	0.296608
1442_c00097_vamb384_MEGAHIT.k21-99.Full_1044	7.83349	0	0	5.28183	0	0	0	0	0	0.150814	2.55425	0	0	0	3.18519	10.2529	0	12.8816	3.85141	5.73498	0	0	0	0	0	0	9.41136	6.83546	60.1569	4.70213	118.933	16.7738	0	38.9177	32.4276	49.9846	0	0	0.799466	0	46.6866	1.93145	0.375893	5.05352	2.40226	28.5371	0	27.3033	7.52775	2.87797	0.268203	0	0	0	0	0	0.427211	1.47369	0	0	0	4.23202	0.825178	0	0	0	0	0	2.67299	0	0	0	0	0	102.876	1.02489	0	0	0	0	2.19741	0	0	0	1.75309	0	0.871473	0	0.301388
1443_c00098_vamb384_MEGAHIT.k21-99.Full_1044	2.3814	1.05315	0	8.92039	0	0.597362	0	0	0	0.15283	0.485316	0	0	0	1.61384	1.03898	0	1.63169	4.8784	0.264153	32.6758	0	0	0.788211	0	0	0	0.288615	16.2048	0	16.9963	0.796761	0	6.22694	6.25911	10.0364	0	0	0	0	4.00923	0.978637	2.2855	0	0	1.15671	0	2.30563	8.71793	2.04154	0	0	2.51176	0	1.43848	4.63805	0	0.746664	0	0	0	0	0	7.82661	0	0	0	1.57317	0	0	0	0	0	0	29.1898	0.34619	0	0	11.6335	0	5.19567	0	0	0	7.10614	0	0	0	0.305404
1444_c00099_vamb384_MEGAHIT.k21-99.Full_1044	30.504	0.266251	0	0	0	0.20136	0	0	0	0.618218	5.07144	0	0	0	7.88806	0	0	11.5504	10.8532	2.93835	0	0	0	0	0	0	0.224288	0.29187	97.545	1.92733	35.1564	1.61146	0	24.6637	16.8789	23.3298	0	0	0	0	4.8652	0.494839	1.92607	0	0	1.16973	0	38.4711	34.1624	3.24438	0	0	0	0	0	0	0	1.51012	0	0	0	0	0	2.26131	4.40004	0	0	0	1.36948	0	0	0	0.704732	0	55.7574	2.62568	5.16377	0	1.30718	0	0.750592	0	0	0	0	0	11.6096	0	0.617676
1445_c00100_vamb384_MEGAHIT.k21-99.Full_1044	26.5286	9.84554	0	0	0	3.03642	0.205612	0	0	3.40158	11.1627	0.755003	0	0	6.5307	8.1875	0	53.7134	28.6379	6.68078	0	0	0	1.99349	0	0	13.8682	6.13175	192.31	7.71245	67.2485	8.86664	0	67.982	65.7641	81.0719	0	0	0	18.2477	16.2508	28.7431	6.42038	5.92062	0.35182	62.3768	0	27.9953	33.0816	12.9828	0.549943	0	1.27054	3.55264	3.63814	0	0	0.755368	0	0	0	31.8253	1.26925	0	10.273	0	0	0.795753	10.9623	0	0	0	0	0	142.497	11.1356	39.2605	0	3.92312	0	11.2634	0	0	0	0	0	0.893407	0	1.23585
1446_c00101_vamb384_MEGAHIT.k21-99.Full_1044	8.03308	0.26644	0	0	0	0.604509	0	0	0	0.773322	15.88	0	2.83258	0	1.90537	0.350479	0	37.1527	5.9241	2.1385	0	0	0	0.199409	0	0	1.79558	0.292077	99.9571	0	21.8907	0.268768	0	33.6084	46.45	44.6626	0	0	0.409938	1.82532	1.62289	6.43749	3.46939	0.740302	0	3.5117	0	5.8331	4.41118	10.9207	0	0	0	0	3.63925	0	0.219062	0	0	0	0	5.78641	0.634651	0	10.274	0	0	0	8.22273	0	0	0	0	0	56.266	2.27721	0	0	0	0	0	0	0	0	0	0	0.893679	0	0.309057
1447_c00102_vamb384_MEGAHIT.k21-99.Full_1044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.78587	0	1.57352	0	0	1.05692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.43708	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1448_c00103_vamb384_MEGAHIT.k21-99.Full_1044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.18851	0	11.1721	0	0	3.21614	0.538782	4.66554	0	0	0	0	0	0	0	0	0	1.19482	0	0	0	0.301291	0	0	0	0	0.742925	0	0	0	0	0	0	0	0	0	0	0	0	0	1.39878	0	0	0	0	0	13.8795	0	0	0	0	0	0.766684	0	0	0	0	0	0	0	0
1449_c00104_vamb384_MEGAHIT.k21-99.Full_1044	1.65327	0.822534	0	0	0	0.207348	1.05793	0	0	0	0.505409	0	0	0	0.2801	0.721333	0	0.84959	2.03196	0.275062	0	0	0	0	0	0	0	0.300571	5.62543	0	8.84954	0	0	16.2118	22.8132	33.427	0	0	0	5.63463	2.50496	0.509602	0	0	1.08645	0	0	0	1.13482	0	0.849195	0	0	0	0	0	1.80353	0	0	0	0	0.744298	0	0	1.51031	0	0	0	1.41014	0	0	0	0	0	32.8104	0.540784	9.57112	0	0	0	0.772928	0	0	0	0	0	3.67853	0	0
1450_c00105_vamb384_MEGAHIT.k21-99.Full_1044	103.065	12.7845	0	0	0	14.2921	10.7237	0	0	21.1361	22.8836	14.179	0	0	14.1963	42.0438	0	352.228	394.427	20.911	0	0	0	10.6075	0	1.46167	42.8446	39.6087	320.964	96.5607	204.687	51.3037	0	651.311	782.944	653.225	0	0	19.2439	76.1523	209.903	48.5582	30.361	36.0342	37.8112	99.5119	0	65.7119	29.9085	76.3633	6.88662	0	5.96573	9.26639	69.0871	0	16.9112	14.1862	0	0	0	66.3926	13.24	0	33.6802	0	0	9.1327	60.0327	0	0	0	6.6204	0	186.347	28.8706	153.071	0	12.2806	0	9.40177	0	4.95561	0	0	0	85.762	0	23.8545
